20181029,930,1094.13,1101.98,1092.35,1101.22,110344,1,0,0
20181029,931,1100.74,1100.81,1094.41,1095.36,18335,1,0,0
20181029,932,1094.42,1097.29,1094,1094.7,18706,1,0,0
20181029,933,1094.19,1099.73,1094.06,1098,11753,1,0,0
20181029,934,1098,1098.18,1092.16,1092.43,6340,1,0,0
20181029,935,1093.61,1096.58,1092.32,1096.09,6799,1,0,0
20181029,936,1096.18,1098.99,1096.08,1098.86,15574,1,0,0
20181029,937,1098.32,1100.58,1097.08,1098.4,13187,1,0,0
20181029,938,1097.79,1101.07,1095.24,1099.82,12182,1,0,0
20181029,939,1100.7,1101.92,1095.08,1095.08,7279,1,0,0
20181029,940,1095.92,1097.34,1094.76,1095.86,10799,1,0,0
20181029,941,1095.75,1097.97,1092.35,1092.35,13445,1,0,0
20181029,942,1092,1094,1089.36,1090,17589,1,0,0
20181029,943,1090.43,1092.5,1088.22,1088.58,11097,1,0,0
20181029,944,1089,1093.99,1088.68,1093.31,7253,1,0,0
20181029,945,1093.34,1093.34,1089.04,1090.88,9420,1,0,0
20181029,946,1090.8,1092.51,1089.42,1090.73,3572,1,0,0
20181029,947,1090.67,1095,1090.67,1094.52,8982,1,0,0
20181029,948,1095,1097.03,1094.47,1096.27,8832,1,0,0
20181029,949,1095.88,1097.71,1092.56,1093.53,12933,1,0,0
20181029,950,1093.97,1095.76,1092.63,1092.93,9203,1,0,0
20181029,951,1093.9,1094.33,1092.12,1092.66,6619,1,0,0
20181029,952,1092.43,1094.59,1091.5,1092,6917,1,0,0
20181029,953,1091.35,1094.28,1090.58,1093.41,5033,1,0,0
20181029,954,1093.23,1095,1091.78,1094,3544,1,0,0
20181029,955,1093.66,1096.36,1091.02,1096.36,9587,1,0,0
20181029,956,1095.49,1096.22,1093.7,1094.98,4168,1,0,0
20181029,957,1094.63,1098.15,1094.51,1097.77,8449,1,0,0
20181029,958,1097.33,1099.97,1096.88,1098.62,10497,1,0,0
20181029,959,1098.12,1099.41,1096.4,1098.61,3445,1,0,0
20181029,1000,1098.39,1101.49,1098,1101.13,12712,1,0,0
20181029,1001,1100.32,1103.23,1099.67,1102.52,11781,1,0,0
20181029,1002,1102.22,1105,1101.21,1104.22,8212,1,0,0
20181029,1003,1104.87,1105,1102.45,1104.55,7437,1,0,0
20181029,1004,1104.55,1107.64,1104.29,1107.01,8892,1,0,0
20181029,1005,1106.62,1108.83,1106.62,1108.39,9632,1,0,0
20181029,1006,1108.66,1108.74,1106.38,1106.48,10606,1,0,0
20181029,1007,1106.39,1107.84,1105.62,1105.84,7434,1,0,0
20181029,1008,1105.63,1106.14,1103.08,1103.98,8564,1,0,0
20181029,1009,1103.97,1105.72,1103.25,1103.76,3816,1,0,0
20181029,1010,1104.17,1105.97,1103.27,1104.15,6272,1,0,0
20181029,1011,1103.99,1105.74,1103.49,1104.63,6093,1,0,0
20181029,1012,1104.67,1105.13,1099.38,1100.76,12309,1,0,0
20181029,1013,1101,1102.99,1100.94,1102.08,8199,1,0,0
20181029,1014,1102.49,1103.29,1100.78,1100.78,20069,1,0,0
20181029,1015,1101.71,1105.65,1101.31,1103.99,17573,1,0,0
20181029,1016,1103.99,1106.15,1103.29,1106.15,10396,1,0,0
20181029,1017,1105.93,1105.93,1103.78,1104.26,5714,1,0,0
20181029,1018,1104.26,1106.68,1104.08,1106.31,11151,1,0,0
20181029,1019,1105.79,1106.81,1103.97,1104.81,7128,1,0,0
20181029,1020,1104.46,1105.38,1103.52,1105.36,3827,1,0,0
20181029,1021,1105.36,1108.06,1105.05,1106.64,14866,1,0,0
20181029,1022,1106.9,1107.19,1104.48,1104.48,3734,1,0,0
20181029,1023,1104.82,1106.62,1103.8,1103.99,16232,1,0,0
20181029,1024,1104.18,1105.73,1101.69,1103.03,22156,1,0,0
20181029,1025,1103.49,1103.98,1102.23,1102.23,9238,1,0,0
20181029,1026,1102.67,1104.22,1101.86,1102.73,6862,1,0,0
20181029,1027,1102.79,1103.6,1101.84,1101.84,3887,1,0,0
20181029,1028,1101.83,1102.33,1100.34,1100.85,7062,1,0,0
20181029,1029,1101.18,1101.18,1097.26,1097.26,9285,1,0,0
20181029,1030,1097.05,1101.72,1097.05,1100.1,5728,1,0,0
20181029,1031,1100.62,1101.52,1100.38,1101.06,3022,1,0,0
20181029,1032,1100.74,1100.74,1097.5,1099.16,6874,1,0,0
20181029,1033,1098.76,1099.25,1098.01,1098.1,4209,1,0,0
20181029,1034,1098.18,1098.67,1095.59,1095.99,7514,1,0,0
20181029,1035,1095.39,1096.86,1093.59,1093.66,6754,1,0,0
20181029,1036,1093.66,1094.45,1092.37,1093.49,7738,1,0,0
20181029,1037,1093.69,1094.46,1090.25,1090.25,6328,1,0,0
20181029,1038,1090.16,1091.78,1090.11,1091.78,3389,1,0,0
20181029,1039,1091.41,1092.5,1090.35,1091.84,3527,1,0,0
20181029,1040,1090.86,1091.63,1089.15,1090.96,2264,1,0,0
20181029,1041,1090.96,1090.96,1088.08,1089.61,4929,1,0,0
20181029,1042,1089.98,1092.3,1089.83,1091.7,2340,1,0,0
20181029,1043,1091.56,1092.89,1090.82,1091.59,2367,1,0,0
20181029,1044,1091.59,1091.61,1089.5,1090.54,3388,1,0,0
20181029,1045,1091.03,1091.63,1088.12,1089.1,1999,1,0,0
20181029,1046,1088.04,1090.27,1088.04,1089.84,9254,1,0,0
20181029,1047,1089.93,1090.15,1088.03,1088.96,4142,1,0,0
20181029,1048,1088.87,1088.87,1085,1087.42,8755,1,0,0
